orderid,date,customer,product,quantity,unitprice,totalprice,currency,company,sales_eur,sales_usd
B001,2024-01-04,EuroLogic,Headphones,10,42.0,420.0,EUR,Beta,420.0,457.8
B002,2024-01-06,TechHaus,Mouse,15,18.0,270.0,EUR,Beta,270.0,294.3
B003,2024-01-09,DataVision,Monitor,7,155.0,1085.0,EUR,Beta,1085.0,1182.65
B004,2024-01-11,SmartCore,Keyboard,20,28.0,560.0,EUR,Beta,560.0,610.4000000000001
B005,2024-01-15,EuroLogic,USB Hub,18,13.5,243.0,EUR,Beta,243.0,264.87
B006,2024-01-18,TechHaus,Mousepad,25,8.99,224.75,EUR,Beta,224.75,244.97750000000002
B007,2024-01-21,DataVision,Webcam,14,41.0,574.0,EUR,Beta,574.0,625.6600000000001
B008,2024-01-23,SmartCore,Laptop Stand,9,32.0,288.0,EUR,Beta,288.0,313.92
B009,2024-01-26,EuroLogic,Monitor,3,155.0,465.0,EUR,Beta,465.0,506.85
B010,2024-01-28,TechHaus,Keyboard,17,28.0,476.0,EUR,Beta,476.0,518.84
B011,2024-02-01,DataVision,Mouse,22,18.0,396.0,EUR,Beta,396.0,431.64000000000004
B012,2024-02-03,SmartCore,Headphones,12,42.0,504.0,EUR,Beta,504.0,549.36
B013,2024-02-06,EuroLogic,Mousepad,30,8.99,269.7,EUR,Beta,269.7,293.973
B014,2024-02-08,TechHaus,Webcam,11,41.0,451.0,EUR,Beta,451.0,491.59000000000003
B015,2024-02-11,DataVision,Keyboard,14,28.0,392.0,EUR,Beta,392.0,427.28000000000003
B016,2024-02-14,SmartCore,Monitor,4,155.0,620.0,EUR,Beta,620.0,675.8000000000001
B017,2024-02-16,EuroLogic,USB Hub,20,13.5,270.0,EUR,Beta,270.0,294.3
B018,2024-02-19,TechHaus,Headphones,15,42.0,630.0,EUR,Beta,630.0,686.7
B019,2024-02-21,DataVision,Mouse,19,18.0,342.0,EUR,Beta,342.0,372.78000000000003
B020,2024-02-24,SmartCore,Keyboard,13,28.0,364.0,EUR,Beta,364.0,396.76000000000005
B021,2024-02-27,EuroLogic,Mousepad,28,8.99,251.72,EUR,Beta,251.72,274.3748
B022,2024-03-01,TechHaus,Webcam,16,41.0,656.0,EUR,Beta,656.0,715.0400000000001
B023,2024-03-04,DataVision,Monitor,5,155.0,775.0,EUR,Beta,775.0,844.7500000000001
B024,2024-03-06,SmartCore,Laptop Stand,11,32.0,352.0,EUR,Beta,352.0,383.68
B025,2024-03-09,EuroLogic,Mouse,17,18.0,306.0,EUR,Beta,306.0,333.54
B026,2024-03-11,TechHaus,Headphones,14,42.0,588.0,EUR,Beta,588.0,640.9200000000001
B027,2024-03-14,DataVision,USB Hub,10,13.5,135.0,EUR,Beta,135.0,147.15
B028,2024-03-17,SmartCore,Keyboard,19,28.0,532.0,EUR,Beta,532.0,579.88
B029,2024-03-19,EuroLogic,Monitor,6,155.0,930.0,EUR,Beta,930.0,1013.7
B030,2024-03-22,TechHaus,Mousepad,35,8.99,314.65,EUR,Beta,314.65,342.9685
